1,0.7,0.8,1,2,0,,
2,0.7,1.53,1,3,0,,
3,0.7,2.26,1,4,0,,
4,0.7,3,1,23,0,,
5,1.88,3,2,6,8,0,
6,2.78,3,2,7,9,0,
7,3.68,3,1,10,0,,
8,1.88,3.9,1,9,9,,
9,2.78,3.9,1,10,10,,
10,3.68,3.9,1,11,0,,
11,4.71,3.9,1,12,0,,
12,4.71,1.7,2,13,16,0,
13,4.01,1.7,2,14,17,0,
14,3.31,1.7,2,15,18,0,
15,2.61,1.7,1,19,0,,
16,4.71,0.8,1,17,17,,
17,4.01,0.8,1,18,18,,
18,3.31,0.8,1,19,19,,
19,2.61,0.8,1,20,0,,
20,1.33,0.8,1,1,0,,
21,1.33,1.53,1,20,0,,
22,1.33,2.26,1,21,0,,
23,1.33,3,3,22,5,24,0
24,1.33,3.45,2,25,23,0,
25,0.85,4.1,1,24,0,,
